timestamp,temperature,humidity,mq135,co,riskScore
2026-08-27 12:45:36.955,30.5,65.0,820.0,12.0,100.0
2026-08-27 18:53:30.554,30.4,91.3,815.0,167.0,0.0
2026-08-28 17:44:35.462,29.9,84.5,0.0,0.0,0.0
2026-08-28 17:44:45.768,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:44:56.190,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:45:06.321,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:45:16.436,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:45:26.624,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:45:36.729,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:45:46.861,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:45:56.957,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:46:07.136,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:46:17.305,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:46:27.431,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:46:37.550,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:46:47.674,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:46:57.806,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:47:07.915,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:47:18.064,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:47:28.246,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:47:38.419,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:47:48.648,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:47:58.758,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:48:08.865,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:48:19.062,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:48:29.199,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:48:39.306,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:48:49.474,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:48:59.717,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:49:09.852,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:49:19.989,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:49:30.128,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:49:40.238,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:49:50.343,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:50:00.645,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:50:10.780,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:50:20.919,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:50:31.030,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:50:41.191,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:50:51.331,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:51:01.433,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:51:11.545,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:51:21.846,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:51:31.953,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:51:42.058,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:51:52.164,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:52:02.498,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:52:12.632,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:52:22.774,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:52:32.879,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:52:42.986,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:52:53.092,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:53:03.203,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:53:13.307,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:53:23.498,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:53:33.634,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:53:43.743,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:53:54.013,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:54:04.149,30.6,87.8,0.0,0.0,0.0
2026-08-28 17:54:14.260,30.6,88.1,0.0,0.0,0.0
2026-08-28 17:54:24.366,30.6,88.1,0.0,0.0,0.0
